scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes,pk_len_bytes,sk_len_bytes
schnorr,2048,128,iCertGen,0,81,1246800,44,33,32
schnorr,2048,128,SKGen,0,81,55600,44,33,32
schnorr,2048,128,PKRecon,0,81,5287300,44,33,32
schnorr,2048,128,Setup,0,82,521700,0,33,32
schnorr,2048,128,iCertGen,0,82,1176300,44,33,32
schnorr,2048,128,SKGen,0,82,58900,44,33,32
schnorr,2048,128,PKRecon,0,82,5593500,44,33,32
schnorr,2048,128,Setup,0,83,523500,0,33,32
schnorr,2048,128,iCertGen,0,83,1240500,44,33,32
schnorr,2048,128,SKGen,0,83,56100,44,33,32
schnorr,2048,128,PKRecon,0,83,5246100,44,33,32
schnorr,2048,128,Setup,0,84,549400,0,33,32
schnorr,2048,128,iCertGen,0,84,1187400,44,33,32
schnorr,2048,128,SKGen,0,84,58100,44,33,32
schnorr,2048,128,PKRecon,0,84,5518100,44,33,32
schnorr,2048,128,Setup,0,85,489300,0,33,32
schnorr,2048,128,iCertGen,0,85,1229700,44,33,32
schnorr,2048,128,SKGen,0,85,55500,44,33,32
schnorr,2048,128,PKRecon,0,85,5158400,44,33,32
schnorr,2048,128,Setup,0,86,577700,0,33,32
schnorr,2048,128,iCertGen,0,86,1217400,44,33,32
schnorr,2048,128,SKGen,0,86,55700,44,33,32
schnorr,2048,128,PKRecon,0,86,5182700,44,33,32
schnorr,2048,128,Setup,0,87,526600,0,33,32
schnorr,2048,128,iCertGen,0,87,1222000,44,33,32
schnorr,2048,128,SKGen,0,87,53900,44,33,32
schnorr,2048,128,PKRecon,0,87,5004300,44,33,32
schnorr,2048,128,Setup,0,88,576600,0,33,32
schnorr,2048,128,iCertGen,0,88,1187700,44,33,32
schnorr,2048,128,SKGen,0,88,57500,44,33,32
schnorr,2048,128,PKRecon,0,88,5291700,44,33,32
schnorr,2048,128,Setup,0,89,594100,0,33,32
schnorr,2048,128,iCertGen,0,89,1139200,44,33,32
schnorr,2048,128,SKGen,0,89,55100,44,33,32
schnorr,2048,128,PKRecon,0,89,5112500,44,33,32
schnorr,2048,128,Setup,0,90,583200,0,33,32
schnorr,2048,128,iCertGen,0,90,1184900,44,33,32
schnorr,2048,128,SKGen,0,90,56200,44,33,32
schnorr,2048,128,PKRecon,0,90,5293200,44,33,32
schnorr,2048,128,Setup,0,91,549000,0,33,32
schnorr,2048,128,iCertGen,0,91,1141600,44,33,32
schnorr,2048,128,SKGen,0,91,56800,44,33,32
schnorr,2048,128,PKRecon,0,91,5536900,44,33,32
schnorr,2048,128,Setup,0,92,549000,0,33,32
schnorr,2048,128,iCertGen,0,92,1179400,44,33,32
schnorr,2048,128,SKGen,0,92,56300,44,33,32
schnorr,2048,128,PKRecon,0,92,5127100,44,33,32
schnorr,2048,128,Setup,0,93,555500,0,33,32
schnorr,2048,128,iCertGen,0,93,1194200,44,33,32
schnorr,2048,128,SKGen,0,93,59600,44,33,32
schnorr,2048,128,PKRecon,0,93,5483000,44,33,32
schnorr,2048,128,Setup,0,94,540700,0,33,32
schnorr,2048,128,iCertGen,0,94,1221200,44,33,32
schnorr,2048,128,SKGen,0,94,57600,44,33,32
schnorr,2048,128,PKRecon,0,94,5333800,44,33,32
schnorr,2048,128,Setup,0,95,576200,0,33,32
schnorr,2048,128,iCertGen,0,95,1177500,44,33,32
schnorr,2048,128,SKGen,0,95,56000,44,33,32
